shareHolderCode,shareHolderName,stocks,avg_1_Week_Return,avg_1_Month_Return,avg_3_Month_Return,avg_6_Month_Return,avg_1_Year_Return,count_1_Week_Return,count_1_Month_Return,count_3_Month_Return,count_6_Month_Return,count_1_Year_Return
75,بانک ملی ایران,وتوسم,-0.020955808091548265,-0.02917552792246647,-0.009283367194314822,-0.216338416791851,-0.3758592905429182,75,75,75,75,75
7497,شرکت سرمایه گذاری گروه توسعه ملی-سهامی عام-,وتوسم,,,,,,3,3,3,3,3
62840,ifmصندوق سرمایه گذاری.ا.بازارگردانی توسعه مل,وتوسم,-0.015904001729101634,-0.047589065717611345,-0.08042265308739642,-0.1450703448008277,-0.27500329010399127,130,129,126,110,82
79652,شرکت گروه توسعه اقتصادی بام-سهامی خاص-,وتوسم,,,,,,1,0,0,0,0
1500,شخص حقیقی,فروس,0.013282808466263158,0.03880864168299144,0.08970131129560767,0.09727464992144888,0.1535209682143956,14,14,14,14,10
21477,شرکت کارآفرینان صنعت ذوب فلزات-سهامی خاص-,فروس,0.020774958253642666,0.04541809537359708,0.11196597000952443,0.343263122755235,0.07579975751232645,61,61,61,60,52
45495,صندوق سرمایه گذاری مشترک پیشتاز,فروس,0.03613082517627632,0.0679303831710544,-0.16530239807161304,0.23941421336973895,,9,9,7,4,3
51079,fin stichingdepositaryamtelonforsatfund,فروس,0.008743985943846733,-0.08613377875682701,0.015791269286703175,0.10839825721917386,-0.08633177854841532,7,7,7,7,7
71276,prxسبد-شرک37608--شرک24406-,فروس,0.001214010357295893,0.04365420337162181,0.12881936021869886,0.09692211025818932,-0.002682590179051314,17,17,13,13,4
77458,شخص حقیقی,فروس,0.035948495010294096,-0.09506721194617243,-0.05453180388767472,0.10387499177377783,,9,9,9,6,2
77462,شخص حقیقی,فروس,0.038909584936633566,-0.12535523073060795,-0.10488367634567249,0.27599525702067307,,6,6,6,4,2
77463,شخص حقیقی,فروس,0.07660392924125434,0.014958641484780188,0.14046626881625765,0.2910670115718581,,5,5,5,4,1
52,بانک سپه,وبهمن,0.010671280963160779,-0.03864139691806001,0.12666257524694102,-0.04575823803873891,-0.4548636183315014,6,6,6,6,6
279,شرکت بازرگانی عصربهمن,وبهمن,-7.957566405287775e-05,0.09064175597045114,0.7100378949496324,0.09538729331963874,0.04725797996501762,25,25,25,25,25
475,شرکت سرمایه گذاری سامان مجد-سهامی خاص-,وبهمن,0.3112560915165634,0.4234993227595396,0.24581407089327229,0.13074252334519,0.05802816240906021,14,14,14,14,14
641,شرکت گروه بهمن-سهامی عام-,وبهمن,-0.01302158859256386,-0.02347704674285709,-0.005717546590200717,,,6,5,5,2,1
997,شرکت سرمایه گذاری ارزش آفرینان-سهامی عام-,وبهمن,,,,,,2,2,2,2,0
1000,شرکت گروه انرژی مهستان-سهامی عام-,وبهمن,,,,,,1,1,1,1,1
21441,صندوق سرمایه گذاری لوتوس پارسیان,وبهمن,,,,,,2,2,2,2,2
22636,شرکت مزدایدک -سهامی عام-,وبهمن,,,,,,1,1,1,1,0
41863,صندوق سرمایه گذاری ثابت حامی,وبهمن,-0.010054480402236138,0.016496319456554914,0.1443522014337396,,,4,4,4,0,0
41983,صندوق سرمایه گذاری اعتمادآفرین پارسیان,وبهمن,,,,,,2,2,2,2,2
